name,comments
Fig Smoothie,"[""          I just made this for breakfast for hubby and me. What a great way to use up some of the plethora of figs that we currently have! I don't usually have OJ so I added a couple of fresh peaches, added some chia seeds and ground flaxseed and it was just the right sweetness. Thank you! "", '          Great way to use fresh figs — I used 1 c. puréed figs. Subbed orange/strawberry/banana juice for plain orange and 1/4 c. milk/1/2 c. vanilla Greek yogurt. Delicious, nutritious treat gIr grandkids. ', '          Yes I would make this again. It was delicious ', ""          The only thing I would review is the frozen banana part. It makes it cold but that's hard to unpeel and it wasn't necessary for me and my mom to cut it. "", '          Love this!!  I have a huge bag of figs from last fall in the freezer, so I searched for a smoothie calling for frozen figs. This is the closest I found. Changed it up a bit to improve the nutrition and lower the calories. Mine is only 275 calories for all this:  ½ banana, 4 frozen figs, 1 small orange, 1 cup of coconut-almond milk, a little cinnamon and ground cardamom, and 1 tsp of maca powder. Yumm!!!! ', ""          Good way to use up frozen figs from summer.  I added flax seed to bump up the nutrition.  I've also used hemp powder and put some plain yogurt in in with a bit of honey. "", ""          I added 3 oz. Apricot Greek yogurt from Trader Joe's.  My wife will not eat Figs and she absolutely enjoyed this recipe. "", '           I liked it! I would consider adding more fig and a bit less banana. ', ""          Delicious!!! I used coconut milk instead of cow's milk. Thank you for the recipe. ""]"
Strawberry Fig Preserve,"['          East to make. Great taste. If I had not made it myself I would have never known if was made with figs ', '           I doubled the recipe and added 6 cups of fresh strawberries that I had picked earlier in the year from the berry farm and had kept frozen until my figs became ripe on my tree. This made 10 half pints and 2 pints in wide mouth jars. ', ""          I had 5 pounds of cleaned figs frozen in my freezer for years. I needed freezer space so I thawed the figs in a zip bag and warm water, chopped them up,  and made your recipe. I made a batch with strawberry jello AND one with raspberry jello also. One thing, when the figs-sugar-jello mix is cooking it tried to scorch so I added 3/4 cup of the fig juice left in the bottom of the zip bag. Made things a lot easier. I've been using my jam on cinnamon/raisin toast with cream cheese for a breakfast treat. I'm a guy and I've been canning since I was a kid. "", ""          Do I need to peel the figs? Can I substitute crushed pineapple and pineapple jello for the strawberries? My grandmother  used pineapple to stretch the recipe but I don't have her recipe. "", '          Good way of using some really nice figs! ', '          I really love the taste. I put about 3/4 cup local honey in instead of sugar   Sugar I put 1 1/2 cup.  Made5 1/2 pints. Total. Used only one packet of strawberry jello ', '          Sounded to simple so I had to try it. Worked great and tastes good. It is a clear, simple flavored jam. ', '          this is the same recipe my grandmother used to use. best jelly ever ', '           This was a very easy recipe for fig preserves, I added Splenda instead of sugar, my husband is diabetic and he loved them. Irma Dark ']"
Fig and Onion Spread,"[""          Was trying to use up some brown figs that had dried themselves out on the tree pretty well. And I only had yellow onion.  But I'm very happy with the results; just needed to add a little water along with the figs.  It's like jam if you don't like simple sugary fruit jam. "", '          So good!  I made it to the recipe.  Then I spread it on flatbread and topped with goat cheese and baked it for 15 minutes.  It was amazing!  Thanks for this great use for the fresh figs I was never sure what to do with. ', '           Great recipe! I used figs from my own backyard tree rather than black mission but otherwise followed the recipe exactly.  The cook times were a little different for me, but I could tell by the descriptions when it was time to move on to the next step.  Served on crostini with goat cheese and felt fancy. Yum! Will make this again (maybe tomorrow). ', '           Delicious!  Used Turkey Figs and sweet vidalia onions because that’s what I had on hand. Nice flavor, texture, and color. served in a cracker with a smear of cream cheese. ', '          Super good and easy to make, only needed one tablespoon of sugar :) ', '          Very tasty. I added a Tbs. of honey and a little Red Pepper flakes . Great on cream cheese! ', '          NO sugar needed if you use a very good Balsamic vinegar.(i.e. there is no caramel colour!)  Red onions must be fresh and when they caramelize down, they sweeten up. So good. ', '           I replaced the white sugar with brown sugar! Delicious and so easy. ', ""          This is so delicious!   I'm having it right now on crackers for my breakfast    :~D""]"
Figs and Toasted Almonds Brie,"['          This was absolutely a delicious appetizer! I used fig preserves instead about 6 tbsp. and cut down simmering by 5 min.  Definitely a dish to make again! ', '           Enjoyed this with figs right off my tree.  It is a bit sweet and I think I may try without the vanilla next time to take the sweetness away and the Brie was till hard in the center so I’ll add more time or figure out how to test for softness better - but overall I will make again. ', ""          This was so good! I only had an 8oz round of Brie, made the topping as stated but using  3 or 4 extra figs. I used water crackers because I didn't want to alter the flavor of the cheese. We ate the last little bit of leftovers with lunch today and I think I prefer if fresh. Thank you for sharing, I will totally do this again! "", '          This was delicious!  Very rich - will make again. ', '          This is delicious!  Everyone loved it so much there was none left over! ', '          I used toasted pecans. Came out delish!! ', '          I loved this!  So yummy!  It is a bit on the sweet side, but I have absolutely no problem with that.  Appetizer or Dessert (hehe)!', '          double the nuts and figs. delicious! ', '          Fantastic!!! Didnt change anything, except this was ready after 5 min in the oven... Guests asked for recipe naturally :) So easy to make... once you find the fresh figs. I finally found some at Whole Foods. ']"
Fresh Fig Oatmeal Muffins,"['          halved the sugar and used half whole wheat half white flour and used half applesauce half oil ', '          This recipe is easy, very tasty. They stay moist stored in a food bag. The flavor is best after these are completely cooled. This is a favorite for me! ', '          Great recipe for figs! I used whole wheat flour and added an extra teaspoon of baking soda with a pinch of salt. I doubled the spices for our personal preference and a stevia blend for the white sugar. Low fat and high fiber — perfect for breakfast with yogurt! ', '          We all loved them. The oatmeal & fig seeds added a nice texture. Will certainly make again. ', '          This recipe is so easy and the muffins so tasty! Love them! ', ""           A friend gave me some figs, so I thought this recipe would be a great way to make them.  I didn't have the flax, so I added extra oatmeal.  The first batch was bland and dense, so I added baking soda and walnuts to the second half.  This improved the recipe, so I would recommend changing the recipe to 2 teaspoons baking soda and a teaspoon of salt, as well as a cup of chopped walnuts. "", '           PS - unsweetened applesauce is just fine in this recipe. ', '          Good way to use my figs.  Next time I’ll add some nuts. ', ""           They were good, but they were little denser than I thought. That is probably because I'm not used to cooking with oatmeal and flax seed powder. ""]"
Fresh Figs and Chicken Thighs in Shallot-Balsamic Reduction,"[""          So easy and so good.  Tastes rich but it isn't.  Passing this one on to all my friends with figs "", '          Easy and delicious! I used bone-in chicken thighs successfully. ', '          I was so pleased to find a recipe that would utilize my home-grown figs and Rosemary. The recipe was easy to follow and it was a real crowd-pleaser at our house! ', '          Substituted dried Sunkist dried figs soaked in water for 4 hours for fresh.  That added to the sweetness.  Served with a nice pinot noir.  Delightful! ', '          It was delicious and very easy as well. It was a great way to use the fresh figs I found recently. ', '          Really good ', '          I cut the recipe to two servings, but added extra figs because mine were small and I have a LOT on the tree and he LOVES  them! After looking at it, I really wanted color so I added sliced red bell during the browning of the chicken. Made a beautiful dish with roasted potatoes and fresh broccoli. Thank you ! ', '          So easy and absolutely awesome!  I used a fig balsamic as well and it was off the charts with flavour, a new family favourite! ', ""          I've made this dish several times now, and it's always a hit. I've served it to my family, and for company and it always earns some compliments.  I recently tried changing it up a little by switching the figs for cherry tomatoes (added during simmering instead of pre-boil) and switching the rosemary for fresh oregano.  It's a versatile, easy, and delicious meal.""]"
Fig and Honey Jam with Walnuts,"['          I think the recipe calls for too much water.  In order to make it less soup like I had to boil it an additional 30 mins.  I don’t have an immersion blender and didn’t want to put the ‘goop’ in my Kitchenaid blender… that’d be a pain to clean out. ', '           I made this recipe with cold pressed avocado spread instead of butter to make it vegan. It turned out perfectly fine and delicious. This recipe made about 6 cups of fig jam. I put it individual containers and gave away 5! Kept one for myself & it is smooth. Making a second batch tonight and added Mort figs this time - about 6 cups. I blended in cusinart after cooling for a few minute. ', '           I made it like the recipe except I had to add a little brown sugar to make the equivalent of 2 cups of honey. I used Marseille figs from my young tree. I wasn’t sure if they were ripe. I had frozen them until I got around to making it. It turned out delicious. I am canning 4- 8 oz. jars. Thank you for sharing this recipe. ', '          delicious. cooked for 2 or 3 hours. did not thicken until i used the immersion blender ', '           Yummy! Used almonds. ', '          Delicious! ', ""          Fantastic recipe! Had about 30lbs of Figs off my bush this year, needed to find a good recipe and this one is excellent. My variety is Turkish Brown, and they are a meaty fig.  Didn't have any problems with the preserve being too thin. It cooked, jarred and water bathed very easy. Will use this again and again.  Thanks for sharing your recipe "", ""          The taste is wonderful but it's too thin. I actually cooked longer than the recipe called for. I'm going to put in hot jars and process is a hot water bath.  I'll give as gifts as a sauce/salad dressing rather than preserves "", '          Pretty easy recipe and tastes great. ']"
Fresh Fig Freezer Jam,"['           This was my first time ever making jam or jelly. I read all the reviews thoroughly and decided to take all the advice and pull it together. I definitely used the little food processor or chopper to chop my figs. Also, there was not a packet of liquid CERTO pectin to be found in the store.  ?? I ended up purchasing the powdered sister-product to CERTO - Sure-Jell.  When I mixed in the sugar and the Sure-Jell, I also found that the sugar was not dissolving and mixing in well. I put it on a low heat until the sugar was dissolved and it made a thick jam. I reduce the sugar to approximately 3 to 3 1/2 cups as I definitely didn’t want it too sweet. At first taste it’s a bit too much lemon so I’m hoping that will meld together as it cools and sits for a bit and that the sugar will continue to dissolve well.  It’s nice and thick, the way jam should be. Also not icky sweet. I am using this on an authentic Italian bruschetta with brie, prosciutto, and arugula, so you want a bit of sweetness, but, not overpowering. I’m excited to try it I did put it on a cracker with some laughing cow Swiss cheese and it was delicious! ?? ????? ? i’m super excited to share it with our friends this weekend and hear what they have to say. You can see my picture it perfectly filled four of the small canning glass jars! ', '           I added vanilla, cinnamon & cloves in small amounts. It gives it a nice kick. I only used 4 cups of sugar rather than the 5 in the recipe and even reducing it by a cup it’s too sweet. I cooked it at a low temp to get the sugar to dissolve completely. I put in both packets of pectin as recommended but it’s a little runny. Maybe because I reduced the sugar it didn’t set up. No matter, it’s so delicious I could eat the whole jar! ', ""          I actually haven't made it, but the directions don't say to cook it but most of the comments say that they did.  Which is correct please "", '           This was very easy to make and tastes heavenly!!! I only used half the pectin and still turned out lovely. Made 7 small jars. ', '           Easy ', '          I have been making fig jam for a few weeks now and I find that there is NON NEED to use pectin. It cooks down to a cohesive, jam like mass. ', '          This was very good it turned out better than I hoped!! ', '          It turned out great, but I did make a couple of changes.  At the end I added a bit of vanilla and cinnamon to it and cooked before I froze it.  My reason for cooking it was that I was trying to make it thicker.  It made it a little thicker, but the greater benefit for letting it cook awhile is that it blended the flavors together beautifully.  I froze them in smaller containers because I plan to put the jam on kolaches.  Thank you! ', ""           This one didn't firm for me and the sugar never dissolved.  I ended up having to cook it a little bit to get the sugar to dissolve and for the jam to 'jell' together.  The flavor was perfect after cooking. ""]"
Fig-Ricotta Cake,"[""           This was outstanding!  Rich, moist, perfection.   Took 60 minutes in convection oven at 350 degrees, but just one part of the loaf was not cooked on top in the middle at the highest point just about equal to a tablespoon.   Didn't want to bake it any longer because the ends would be too dry.  Next time I may add 5 more minutes.  Only substitutes I made were I used butter to coat pan versus nonstick cooking spray and when it cooled it was a just a bit tough to remove, but I slid a flat serving utensil on all sides and then lifted it a bit with two utensils.  It was still warm after a half hour of cooling, sooooo good!  The other thing I used was a very good vanilla extract versus almond extract.  Not a big fan of almond flavor as it is in so many Italian cookie recipes.  I added a photo and you will see where it cracked a bit when I took it out of pan because I didn't coat the pan enough.  I definitely waited the 20 to 30 minutes to remove it from pan!!  Oh I added a few extra figs, as we have a fig tree in our back yard for years and years that my husband tends to and covers it every winter! "", '          I have made this recipe twice and both times I got rave reviews! I will be making it again for Christmas. It reminds me of a similar cake my mom made when I was a kid. I added more figs than what the recipe calls for and omitted the powder sugar. Very delicious cake! ', '          Very good!  Much like pound cake with fruit.  I did not use powdered sugar. Sweet enough.  I did add a few more figs. ', '           So moist!  I used part of the batter to make muffins also.  I skipped the powdered sugar. ']"
August Fig Cookies,"['           Was super easy, I added some ground clove along with the cinnamon and I used roasted pecans instead of walnuts. I couldn’t get my cookies flat though, even with making the 2nd batch smaller. ', '          Just got done making the cookies. I put the cookies in the middle of the oven at 375 and they started burning at the 10 minute point. So I pulled them out . I lowered my next batch to 350 and that seemed to work out better for me. I did not have the walnuts so I doubled up on the Fig. I also added nutmeg. Not very sweet like you said but tasty just the same. I will definitely make these again. ', '          With an abundance of figs this year, these cookies were a hit at our house!  Only change I made was adding more cinnamon - 1/2 t, and increased the salt to 1/4t because I use unsalted butter.  Delicious - thank you! ', '          I enjoy the taste of these cookies. These are not overly sweet. A great compliment to morning coffee. It takes some patience to work with the figs - but it is well worth the effort and the time. Not a recipe for a quick & easy process.. Great for me as I enjoy projects with a bit more detail. ', '          Really enjoyed. Followed other reviewers recommendations to add more figs and a little ground Clove and glad I did. Will add more nuts next time too (pecans). Not too sweet. Nice and moist. Cake like texture. Will make again. ', '           Absolutely delicious!! Subbed pecans because I didn’t have walnuts. Almost skipped the fig on top, but so glad I didn’t- that added a yummy figgy goodness to the cookie! ', '          Absolutely loved it! I used frozen figs instead of fresh and used a cup of diced figs and no nuts.  Otherwise no other changes. ', '          It was an easy recipe and tasted more like a sugar cookie than an august fig cookie. We also needed to chop our fig to get chunks of figs and we needed to chop our nuts too. Other than that they were delicious, not too sweet but not too fig-like. ', '           I love this recipe. It’s so easy to make and really a good way to use the figs that your coworker gives you. ']"
Fig and Prosciutto Appetizer Bites,"['          Very good.  Will use fig jam next time for ease. ', '          Everyone loved this! We used fig spread instead of chopped figs, which was much easier.  I would suggest chopping the basil into pieces instead of strips, it makes for easier cutting of the final product.  Also sprinkled some chopped basil on the top since the finished product looks like raw meat and isn\'t very appetizing, but sure tastes good!  We quadrupled this recipe to get two logs that were about 12"" each.  It fed 15 people as an appetizer. ', '          Excellent! Because it isn\'t ""fresh fig"" time of the year, I used fig preserves instead and it came out just fantastic. My friends raved (and then asked for the recipe.) Thanks! ', '          Easy and Tasty ', '          Delicious and impressive appetizer.  Fig preserve works well if fresh figs are not available. ', ""          Very simple to make and very tasty.  I couldn't find any honey goat cheese so I just added a bit of honey to regular goat cheese. Worked well and you can adjust it to your own tastes. "", ""          I love this combination of sweet, savory, salty, and smoky. I'm going to try this with fig jam instead of fresh figs and see how that turns out, too. "", '          Yes! ']"
Fig Cake I,"[""          I added more figs and I didn't have nutmeg, so I used ginger, as that's still a complementary spice for this wonderful seasonal dessert. "", '          Full of flavour!! I added lest cloves (cloves usually take over the flavours) and it does taste like a spice cake, but the figs are a great addition ', '          I live in a remote location off grid, with no local access to a grocery store for recipe ingredients, so for this I substituted walnuts for pecans and powdered for condensed milk, and I made no frosting. The result is the most delicious cake I have ever made, very moist, with a bold texture and nicely accented with cinnamon and nutmeg. I used fresh figs from my garden. ', '          Love this moist yummy cake.??????', '           Great cake.  Made it as an upside down cake and it wowed the guests.  Served it with whipped cream  Yum. ', '          Really tasty, and a great way to use up my fresh figs. It freezes very well also! ', ""          This cake was awesome! I have a fig tree and every year need to find things to make with figs, so a friend of mine and I gave this a try last night. We didn't make the icing. We tried it while it was pretty hot, so the flavors didn't immediately come through--- but by the third bite, we were hooked! Will definitely make again! "", '          This cake is excellent.  My kids and husband all loved this.  I agree with other reviewers that the figs are not a big part of the flavor, more of a moist spice cake.  I did not change anything except to leave out the pecans as my family are not fond of nuts in baked goods. ', ""          Very good....very moist.  I added about 2 1/2 cups of figs, and probably could have added a bit more flour, it is moist and very good.  I think its a little sweet, though my figs were very sweet too....taking that in mind, I'd cut the sugar a bit next time...frosting was delish.  Alot like caramel....very yummy overall! ""]"
Blueberry-Fig Jam,"['          Love it....had to cook a little longer to gel however great results and easy to navigate the recipe.  I emulsified my fruit and added a few blackberries too! Yummy and no additives ❤ ', ""          I try to avoid sugar, so used Bocha Sweet in this recipe.  Unlike some alternative sweeteners, it doesn't crystallize in the fridge.  Cooked and cooked this, checked for gelling, and finally decided it won't happen unless you use real sugar.  However, it tastes amazing and my husband will be thrilled to swirl this into his morning yogurt. Might try throwing some pectin in if I make this again. "", '          I made jam for the first time with this recipe and I followed it exactly, except that the cooking time was longer than 25 minutes to get a thicker consistency. It is really tasty! ', '           Oh my gosh! This is fantastic! The only thing I did differently was to add twice as much berries because I had two “fat”cups of figs that we pick off the tree this morning. Kept everything else the same using lemon vs lime, just seemed a better fit. I didn’t smash the berries first because I figured the immersion would do them in anyway. I also simmered ten or fifteen minutes longer to get a thicker consistency. Thank you so much for sharing! ']"
Pear-Fig Salad,"['           This was a really nice salad! I did pretty much stick to the recipe, with the exception that I only used about half of a small red onion rather than the whole thing, and only 2 tablespoons of the balsamic vinegar instead of 3. We served this with grilled steak and grilled bread, and everyone enjoyed it. Thanks for the recipe! ']"
Stuffed Leg of Lamb with Balsamic-Fig-Basil Sauce,"[""          It's much better than I thought it'd be. The dried fruits really create this sweet and savory experience that is enhanced by the texture the almonds create. I went an hour and 20 minutes at 325 degrees for a 4 pound leg of lamb and it came out pretty medium rare in the middle! "", ""          I did not stuff the lamb, but made the glaze.  The kids (teens) LOVED it!  They took the left over glaze and finished it off on top of sliced italian bread!  I'm not sure that I would ever stuff the lamb as the family likes it as is, but I make the glaze for both lamb and pork loin.  It's amazing! "", '          Was  a true success with our guests.  Lot\'s of flavour.  The ""stuffing"" and the sauce were a great compliment.  We would have preferred the roast to be more rare than the 140 degree recommendation provided ', ""          This recipe was absolutely delicious! A show stopper with beautiful flavor! You won't be disappointed! Make this for company and holidays or just for a nice dinner! Yum! "", ""          Wow. I LOVED the seasoning. I had a 5 pound lamb but the way it was shaped after we unrolled it we decided to cut it in half so it was now only 2.5 pounds.  We cooked one in the instant Pot and one in the oven as directed.  After 25 minutes at 400  in the oven, it was not done at all so I added another 10 minutes and it still was only 100 degrees inside. I cooked it a little more and then decided to take it out because the Intant pot one was done. I doubled all the seasonings and I was very happy with it. I probably didn't need to double the fig sauce. I used some dried figs that were not the figs mentioned. I also found a bottle of the liquor that was the size of an airline bottle for only $3. My kids gave me 8.5 and 9 rating. Husband said 9, so this is really high so I will make this for an occasion and now know to  cook it longer in the oven and lesss time in the instant pot. 25 minutes in the inlant pot would have been fine.  Then glaze in the oven.  I should not have cooked it more in the pot. "", '          I followed the recipe with no substitutions.  AMAZING!!!  I will make it like this from now on!  I cooked it at 350 degrees, checked it at 40 minutes, then another 20 minutes, and then another 10 minutes until it reached 135 degrees.  It was medium well in the center.  I wont cook it as long next time as I did let it rest the 15 minutes, so I feel it was just a little over done.  EXCELLENT Recipe for lamb!! ', '           Wonderful recipe especially for those who say they do not like LAMB! The creme de cassis liqueur makes a huge difference! Highly recommended! ', '          I made this last Christmas and it was such a hit, they refuse Christmas dinner this year unless I make it again (how boring- but ok).  It was easy enough to make.  I definitely would triple the herb recipe and use the currants and cassis if you can find it.  I also would suggest only the first 25-30 mins at 400 and then lowering your oven temp to 325.  Lastly as other posters have mentioned- TAKE IT OUT OF THE OVEN AT 125-130.  Over cooked lamb has no flavor- let it rest under foil till temp hits 130-135.  I promise DEEEELISH!! oh  and make extra balsamic dressing- it goes fast!! ', ""          Just a comment that the video doesn't load...Looks like a fabulous recipe! ""]"
Bourbon Fig Compote,"['          Just added a little water at the end to get the consistency right. ', '          Turned out really good. I served it with garlic, rosemary chicken. ', ""          I had a sackful of figs to get through so I quadrupled this recipe. Very tangy! I'll probably add less balsamic vinegar next time. Great with butter and toast. I have some to a friend who plans on using it to cook chicken. "", '          This was rather dry. I had to add water to really moisten the figs and try to get the mixture more syrupy. The bourbon flavor really disappeared. I thought it was just okay, but husband really liked it. We had it on sliced baguette with chevre. It was especially good when the fig jam was still warm. ', '           Super easy to make! Used it over my Thanksgiving baked Brie instead of the lingonberry jam I traditionally use. Followed all the directions and ingredients to a T. Set off the Brie really nicely. ', '           Tastes very good, sweetness of dates plus the bourbon flavour makes for a great match ', ""          This was a great little treat!  I bought some beautiful fresh figs, thinking of some sort of appetizer but found this recipe and gave it a try.  It's delicious and also a way to impress your guests when you tell them you made it yourself!  Don't tell them how simple it was!  Yummy! "", ""           I had tons of fresh figs from a tree out back, so I used about two plus cups of fresh diced figs. I also have some fancy balsamic vinegars: traditional balsamic, black cherry balsamic and Sicilian lemon white balsamic which I used in 3 parts. I used a sweeter scotch since I didn't have  bourbon. I reduced on low for quite a while, maybe 40 "", ""          This is so delicious.  However I didn't have whiskey so I used coconut rum. Great with cheese and very addictive. It also tastes better and better as days go by.  Thanks for sharing @JSchubert ""]"
Chicken Tenders with Balsamic-Fig Sauce,"['          Made just the sauce to serve over leftover chicken legs and loved it.  Definitely make again, next time in pan drippings from cooking chicken which would make the sauce even more flavorful.  I had leftover sauce and ate it the next morning on my bagel and cream cheese -- yummy! ', '          It took me longer to prep- I’m not fast with mincing and with measuring several different things, but once I was ready to cook, it was easy!  This was an absolute hit with my teenage children and my husband.     My son said it tasted like something from a restaurant lol.  I will make this again! ', ""          Rich and savory with just the right amount of sweetness....yummy! I didn't have figs as they are hard to get in Alberta.  Substituted dried apricots and added a bit more honey. "", '          Pretty tasty. Did some substituting due to lack of ingredients. Added chicken broth to add to sauce volume. ', '          Very tasty. I used chicken thighs sliced to tenders size. Only found dried figs so heated slightly in water to soften. Turned out well. ']"
Fabulous Fig Scones,"['          These are not scones. The batter was runny, like cake batter. I added an extra 1/2 C oats, but that did not help.  I used an ice cream scoop to place blobs onto the pan - they ran together.  After baking, these look like big, chewy cookies.  Not scones.  Flavor is fine, but not good enough to want to make these again. ', '          Very, very good. ', '          While it had great flavor, not easy to bake. Dough too wet even after adding extra flour. Took 20 min just to get it scored without a doughy mess. The edges cooked faster then the middle. Not a technique I’ve ever used when making scones. I will try again with a drier batter and cutting before baking. ', '           Wow! These are tasty. I had a scone pan so used that and the cook time was less but they were so yummy! ', '           Pretty darn good.  Batter is perfect after the diced figs are added.  Could still taste the fresh fig chunks in these scones ', '          only used 2 T of sugar on figs. made it a different time with dark molasses instead of honey. it was good. tasted like gingerbread ', '          I enjoyed the flavor of the sweet figs to which I added slivered almonds.  The scones were rather crumbly. ', '          I enjoyed the flavor of the sweet figs to which I added slivered almonds.  The scones were rather crumbly. ', ""          I only had about 1 tsp baking powder left so I used baking soda and corn starch (equal amounts).  I also had to double tHe recipe because I had 2 cups of figs. I used maple syrup in the figs. (The turkey brown figs tasted bitter, I also had black mission figs). It's hard to rate when yoU changed it.  I had to bake it longer too.  I think I may have burned it a little. ""]"
Burrata Bruschetta with Figs,"['          Use plenty of the oil/balsamic on each piece! ', '          Yummy!!!! ', '          Oh my.  Never would have done this without the inspiration.  I took it a step further and smeared Burrata on Crostini, topped with Grilled Fig quarters/halves, and drizzled with Balsamic Glaze for a baby shower.  MOST popular - definitely will be doing this again - and the grill mess is a small price to pay. ', ""          Made exactly as written. Loved the grilled figs! Loved all of it except ... the Burrata cheese was sort of underwhelming. The creaminess and flavor is great but I felt it over powered the figs' flavor and did not give enough compliment to the balsamic/ fig dynamic on the toast. I think I prefer a cheese with more sharp bite like a goat cheese or such.  This was good, just not quite perfection for me. "", '          I made this with fresh figs from the garden.  I did substitute fresh soft mozzarella cheese and used a crusty bread.  Wow, was really nice, well flavored and fast.  Enjoyed it prior to grilling a fillet with fingerling potatoes. ', ""           So lovely.  I'd never had grilled figs before, but holy whoa, they were DELICIOUS.  I didn't even have a grill--I just used a cast iron skillet.  My only suggestion for improvement--go ahead and put the fig ON the bread with the cheese, instead of beside it.  The combination of the cheese+bread+fig+balsamic is absolutely wild.  Fresh mozzarella would also work nicely here.  The figs are what make it. ""]"
Fig Cake II,"['          only used 1 cup of sugar and baked in individual Bundt cake pans for 40 min. did not do frosting only dusting of powder sugar. ', ""          This is a delicious cake. I used a bundt pan the first time and made two dozen muffins with the batter the next time. Used fresh figs in both. No icing either time.  Didn't need it. "", ""          I'm fortunate that I have nice neighbors who allow me to pick figs from their trees. I made this cake last fig season with the fresh figs and, instead of using the icing recipe, I dusted the top of the cake with 10X sugar. Everyone loved the cake. It's fig season again and I picked a lot this morning. I'll be making the cake again tomorrow. "", '           The cake is fabulous, but I did not care for the topping.  I think I will try a cream cheese frosting on the one I have in the oven now. ', '           Very good!!  Agree with others:  very moist, tasty, and plenty sweet without icing.  I excluded the icing and followed recipe otherwise except replaced half the oil with apple sauce.  I will make again and will try reducing sugar a bit. ', '           Everybody loved this cake!!  I followed the recipe as written, but skipped the icing. ', '          So moist and delicious! A huge hit! ', ""          Yummy! Doesn't even need the icing if you don't want it "", '          This cake was delicious I made a few substitutions based on what I had available. I used a jar of figs I canned last year (more than a cup) so I cut the sugar down to a half of a cup of coconut sugar, toasted chopped almonds instead of pecans.. I mixed the figs into the batter quite a bit and added extra nutmeg. We ate it without the frosting and it was moist and well  spiced! ']"
Delish Black Mission Figs!,"[""          I forgot the honey.  I'll try it with honey tomorrow but I did not suffer for the lack of it. Easy and yummy "", ""          We make a similar version at our house. All the same ingredients minus the honey.  But most important we serve it raw!  I usually cut the prosciutto into strips and wrap around my 1/4 fig with desired amount of goat cheese. I've made them with light and dark figs and plain and herbed cheese. It all comes down to taste. I say skip the oven! "", '          Great taste! I whisked honey with equal parts of aged Balsamic vinegar for a sweet/tart finish and, being Greek, I used Feta. ', ""          6:30 a.m.  Just read this and had fresh figs on my kitchen counter (from my tree).  Also had soft, mild cheese, bacon, honey.  I immediately put everything together being as quiet as possible and enjoyed this little bit of heaven.  And Deeli's honey/vinegar mix is genius! "", ""           I made this recipe last night for dinner guests and it was a huge hit! Even those who have never had figs or thought they wouldn't like figs loved them. Three minor changes I made were 1) to use Panache Tiger Strip Fig 2) topped with diced thick sliced bacon instead of prosciutto and 3) I didn't drizzle with honey as the figs were juicy and sweet on their own. Truly delicious! Shared the recipe with friends; will definitely make this again. "", '          The addition of prosciutto sounds wonderful! Being that my paternal grampa was from Greece I highly recommend trying this recipe with Feta instead of goat cheese ;-) They taste awesome grilled too! One more tip for those who might like to try an additional flavoring is to whisk together an equal amount of honey and red wine vinegar for drizzling. ']"
"Orange, Fig, and Gorgonzola Salad","['          This is delicious. I substituted arugula for the romaine because I like the peppery with the sweet. I used an olive oil/blackberry balsamic vinaigrette. My husband and I both loved it! ', '          Delicious!  Used a Balsamic ', ""          I altered the type of lettuce and cheese used. My husband told me that he didn't like the fresh figs I brought-so I was looking for a different way to present them because we have a fig tree!"", '          Great mix of flavors in your mouth , made for easter was a hit! ', ""          Delightful salad.  I made my own vinaigrette dressing.  Since the dressing is mixed in at the beginning, it probably doesn't serve well a second time, and as such, you may consider serving the dressing on the side unless you're sure it will all be consumed at the first setting. "", ""          I have to admit I wasn't sure about this salad while reading the recipe.  But for anyone who wonders about the mix, it is wonderful!  We have eaten this salad for the last 3 nights.  We love it!"", ""          I planned on making this recipe as is, but ended up modifying it a bit.  The grocery store I went to didn't have fresh figs so I used golden raisins instead.  I also accidentally got a blood orange (don't ask me how I didn't notice) but ended up loving it in the salad.  I also substituted arugula for the romaine and added some candied walnuts for a nice crunch.  The combination was delicious! "", '          A nice, new salad combination to keep things fresh. ', ""           I've been eyeing my dad's fig tree waiting to get the perfect fig to make this salad...delicious! I didn't have any fresh oranges, so I used mandarin oranges, and they worked out fine. Topped this w/ raspberry vinaigrette...all of the flavors went wonderfully together. I think next time I'll add a bit of red onion too. I will def be making this again~YUM! Thanks for sharing. :) ""]"
Black Mission Fig Preserves,"['          This recipe is great! I did leave the skins on and just chopped them smaller as someone else suggested. So delicious. ', '          *Incomplete review submitted. Here is the full review. I give this 5 stars because it is an excellent “go by” recipe. I used what I had on hand. I rehydrated dried figs and crystallized ginger in some water and port, and then made the preserves from there. It is excellent with sharp cheddar cheese. Next time, I might add some jalapeño. ', '           Smells and tastes good, but turned out very thin and watery. I cooked it over 20 minutes and it reached the 100 Celsius but I should have let it simmered longer.  Hope to use it as a sauce. ', '          I read the other comments regarding the preserve to be bland. Accordingly, I left the skin/peel on and chopped the figs a bit finer. I did find it to be a bit bland so added 1/4 tsp. of ground cloves. Very nice. I used only 1/2 cup of sugar as well. It turned out beautifully.  Love the recipe and will make it again! ', '          I used green figs from my tree...and left the peel. So technically I changed it. But the flavor was wonderful. I love the small batch concept. ', '           This was bland for us.  I missed the flavor that comes from the peel.  Texture wise it was perfect! ', '          I used 1/2 less sugar in this recipe and it came out perfect. ']"
